Fund Name,Fund Code,one_month_return,three_month_return,six_month_return,one_year_return
南方红利低波50ETF联接C,8164,0.59,-0.24,13.32,11.93
中证东方红红利低波指数C,12709,0.12,-1.43,11.47,13.98
华泰柏瑞中证港股通红利ETF联接C,18388,3.48,4.04,15.77,21.51
汇添富中证港股通高股息投资ETF联接C,501306,3.45,3.9,15.27,21.8
华泰柏瑞中证红利低波动ETF联接C,7467,1.29,-0.76,9.52,6.54
嘉实沪深300红利低波动ETF联接C,7606,0.82,0.09,10.39,9.63
创金合信中证红利低波动指数C,5562,1.24,-0.85,9.49,6.36
易方达红利低波ETF联接C,20603,1.36,-1.05,9.63,6.36
天弘中证红利低波动100ETF联接C,8115,1.1,-1.86,12.79,6.9
华泰柏瑞上证红利低ETF联接C,12762,-1.05,-3.12,5.13,-0.58
景顺长城中证红利低波动100ETF联接C,16129,1.01,-2.05,12.19,6.66
易方达中证红利ETF联接C,9052,0.69,-2.58,7.84,2.12
天弘中证港股通高股息投资指数C,22073,3.41,3.63,15.27,21.8
景顺长城中证沪港深红利成长低波动指数 C,7760,1.68,2.85,14.91,19.31
民生加银中证港股通高股息精选指数 C,4533,2.82,1.57,6.73,5.22
